supplier_category,product_count,suggested_internal_path,confidence,approved_internal_path,reasons,alternative_path
"Uși de interior",525,"Uși și ferestre > Uși de interior",0.98,"","exact match ""usi de interior""","Uși și ferestre > Uși metalice"
"Uși metalice",95,"Uși și ferestre > Uși metalice",0.98,"","exact match ""usi metalice""","Uși și ferestre > Uși de interior"
"Tencuială mozaicată",86,"Fațade și sisteme exterioare > Tencuieli decorative",0.98,"","exact match ""tencuiala mozaicata""",""
"Mânere și rozete",74,"Uși și ferestre > Feronerie pentru uși",0.98,"","exact match ""manere si rozete""",""
"Laminat",67,"Pardoseli > Laminat",0.98,"","exact match ""laminat""",""
"Emailuri",66,"Vopsele și finisaje > Vopsele decorative",0.98,"","exact match ""emailuri""",""
"Lacăte și accesorii",55,"Uși și ferestre > Feronerie pentru uși",0.98,"","exact match ""lacate si accesorii""","Gips-carton și sisteme interioare > Profile pentru gips-carton"
"Chituri pentru rosturi",51,"Beton, ciment și mortare > Chituri pentru rosturi",0.98,"","exact match ""chituri pentru rosturi""","Gips-carton și sisteme interioare > Accesorii gips-carton"
"Profile pentru îmbinare",51,"Pardoseli > Profile de trecere",0.98,"","exact match ""profile pentru imbinare""","Gips-carton și sisteme interioare > Profile pentru gips-carton"
"Plinte",49,"Pardoseli > Plinte",0.98,"","exact match ""plinte""",""
"Vopsea interior",42,"Vopsele și finisaje > Vopsele decorative",0.98,"","exact match ""vopsea interior""","Uși și ferestre > Uși de interior"
"Grunduri",39,"Vopsele și finisaje > Grunduri",0.98,"","exact match ""grunduri""",""
"Lacuri",37,"Vopsele și finisaje > Lacuri și protecția lemnului",0.98,"","exact match ""lacuri""",""
"Baghete fără ornament",33,"Vopsele și finisaje > Baghete și elemente decorative",0.98,"","exact match ""baghete fara ornament""","Beton, ciment și mortare > Adezivi pentru construcții"
"Tencuială decorativă (tinc)",31,"Fațade și sisteme exterioare > Tencuieli decorative",0.86,"","keyword ""tencuiala decorativa""","Vopsele și finisaje > Vopsele decorative"
"Adezivi pentru teracotă",29,"Beton, ciment și mortare > Adezivi pentru construcții",0.98,"","exact match ""adezivi pentru teracota""","Gips-carton și sisteme interioare > Accesorii gips-carton"
"Pardoseli din vinil SPS",28,"Pardoseli > Pardoseli vinil / SPC",0.98,"","exact match ""pardoseli din vinil sps""","Gips-carton și sisteme interioare > Plăci și panouri"
"Pelicule, membrane, accesorii acoperiș",27,"Acoperișuri > Membrane și folii pentru acoperiș",0.86,"","keyword ""pelicule""","Acoperișuri > Accesorii acoperiș"
"Buloane",27,"Elemente de fixare > Buloane, piulițe, șaibe",0.98,"","exact match ""buloane""",""
"Profile",26,"Gips-carton și sisteme interioare > Profile pentru gips-carton",0.98,"","exact match ""profile""","Profile metalice și schelete > Profile pentru construcții"
"Vopsea exterior",26,"Vopsele și finisaje > Vopsele decorative",0.98,"","exact match ""vopsea exterior""",""
"Vată minerală",23,"Termoizolare și fonoizolare > Vată minerală",0.98,"","exact match ""vata minerala""",""
"Coler",23,"Beton, ciment și mortare > Adezivi pentru construcții",0.98,"","exact match ""coler""","Vopsele și finisaje > Pigmenți și coloranți"
"Gleturi",23,"Beton, ciment și mortare > Gleturi",0.98,"","exact match ""gleturi""",""
"Jaluzele",23,"Uși și ferestre > Jaluzele și rulouri",0.98,"","exact match ""jaluzele""",""
"Adezivi pentru termoizolare",21,"Fațade și sisteme exterioare > Sisteme termoizolante pentru fațade",0.98,"","exact match ""adezivi pentru termoizolare""","Gips-carton și sisteme interioare > Accesorii gips-carton"
"Burghii",21,"Scule și echipamente > Burghii și accesorii",0.98,"","exact match ""burghii""",""
"Amescuri uscate",20,"Beton, ciment și mortare > Mortare și șape",0.98,"","exact match ""amescuri uscate""",""
"Tehnonikoli (Rusia)",20,"Acoperișuri > Membrane și folii pentru acoperiș",0.86,"","keyword ""tehnonikoli""",""
"Jgheab d100 Burlan d75 Alb",20,"Acoperișuri > Sisteme de jgheaburi și burlane",0.86,"","keyword ""jgheab""",""
"Jgheab d100 Burlan d75 Brun",20,"Acoperișuri > Sisteme de jgheaburi și burlane",0.86,"","keyword ""jgheab""",""
"Jgheab d125 Burlan d105 Alb",20,"Acoperișuri > Sisteme de jgheaburi și burlane",0.86,"","keyword ""jgheab""",""
